X,Y,OBJECTID,Weekday,stop_code,StopMode,stop_name,stop_lat,stop_lon,F28,F38,F55,F60,F61,F62,F63,F64,F65,F75,F80,F81,F82,F84,A,B,C,D,E,F,G,H,J,L,O,P,R,S,W
-9945534.77817303,5327832.20496054,49,89.77272727,10109,RB,Marquette,43.104112,-89.342259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.77272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9945509.95401091,5327840.43818231,50,68.81818182,10110,RB,Marquette,43.104166,-89.342036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.81818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9944854.95008307,5328572.92779054,51,60.45454545,10113,RB,Melvin-Rethke,43.10897,-89.336152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.45454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9944828.79004276,5328589.24319014,52,21.18181818,10114,RB,Melvin-Rethke,43.109077,-89.335917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.18181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9944257.60973963,5329179.82147289,53,53.5,10117,RB,Wright-Fair Oaks,43.11295,-89.330786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9944234.23265842,5329189.42840485,54,13.22727273,10118,RB,Wright-Fair Oaks,43.113013,-89.330576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.22727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9944153.41464901,5330292.61336743,55,0.04545455,10121,RB,Anderson-Wright,43.120247,-89.32985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9944178.12753371,5330259.9765246,56,35.13636364,10122,RB,Anderson-Wright,43.120033,-89.330072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.13636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9943226.67986872,5330114.17944364,57,320.72727273,10125,RB,Mendota,43.119077,-89.321525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320.72727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9943178.58989163,5330088.10106047,58,24.5,10126,RB,Mendota,43.118906,-89.321093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9942490.19013456,5330809.7857416,59,118.86363636,10129,RB,Thierer-Portage,43.123638,-89.314909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.86363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9942395.34592318,5330819.24183617,60,16.09090909,10130,RB,Thierer-Portage,43.1237,-89.314057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.09090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9941794.88854933,5331475.39564848,61,298.63636364,10133,RB,Independence Westbound,43.128002,-89.308663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.63636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9941702.82732514,5331473.87033637,62,27.95454545,10134,RB,Independence Eastbound,43.127992,-89.307836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.95454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9941233.17040374,5332007.27704587,63,61.63636364,10137,RB,East Springs Westbound,43.131489,-89.303617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.63636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9941154.80157889,5331993.54877472,64,0.90909091,10138,RB,East Springs Eastbound,43.131399,-89.302913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9951576.53227812,5320253.16081723,65,62.13636364,107,MB,S Park at W Olin,43.054383,-89.396533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.13636364,0,0,0,0,0,0,0,0,0,0,0,0,0
-9950254.94723523,5323551.25273115,66,156.77272727,1100,MB,E Mifflin at N Pinckney,43.076028,-89.384661,0,0,0,0,0,0,0,0,0,42.36363636,0,0,0,0,0,0,0,0,35.5,0,0,0,0,0,0,0,78.90909091,0,0
-9950156.09558662,5323135.06068348,67,4.63636364,1101,MB,W Main at S Carroll,43.073297,-89.383773,0,0,0,0,0,0,0,0,0,0.18181818,0,0,0,0,0,0,0,0,4.45454545,0,0,0,0,0,0,0,0,0,0
-9943745.65136504,5326910.57648071,68,0.09090909,1105,MB,Milwaukee at Walter,43.098067,-89.326187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09090909,0,0,0,0,0,0,0,0,0,0,0
-9947933.15657317,5326695.61915649,69,55.81818182,1116,MB,Fordem at Lakewood,43.096657,-89.363804,19.36363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.45454545,0,0,0,0,0,0,0,0,0,0,0
-9949532.92900561,5324604.23625097,70,4.18181818,1121,MB,E Johnson at N Livingston,43.082937,-89.378175,0.18181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
-9947952.52621371,5328751.33211066,71,5.40909091,1122,MB,N Sherman at Oxford,43.11014,-89.363978,0,0,0,0.63636364,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77272727,0,0,0,0,0,0,0,0,0,0,0
-9948822.93325776,5326105.04569946,72,43.18181818,1129,MB,Sherman at Marston,43.092783,-89.371797,43.18181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9947332.3653204,5326749.7391945,73,2.22727273,1131,MB,E Johnson at N Third,43.097012,-89.358407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22727273,0,0,0,0,0,0,0,0,0,0,0
-9945802.05626163,5327188.19888695,74,3.22727273,1137,MB,Milwaukee at Corry,43.099888,-89.34466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22727273,0,0,0,0,0,0,0,0,0,0,0
-9950044.33083168,5324339.79806931,75,126.5,1138,MB,E Gorham at N Blair,43.081202,-89.382769,75.13636364,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,48.86363636,0,0,0,0,0,0,0,0,0,0,0
-9952043.07216517,5322325.28397983,76,87.45454545,115,MB,N Park at Regent,43.067983,-89.400724,0,0,0,0,0,0,0,0,0,0,0,0,14.36363636,0,0,73.09090909,0,0,0,0,0,0,0,0,0,0,0,0,0
-9949310.73529342,5323575.33188671,77,61.90909091,1150,MB,E Wilson at S Blair,43.076186,-89.376179,0,21.31818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.59090909,0,0,0,0,0,0,0,0,0,0,0,0
-9949272.99799018,5324849.78176206,78,11.59090909,1151,MB,E Johnson at N Paterson,43.084548,-89.37584,1.31818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.27272727,0,0,0,0,0,0,0,0,0,0,0
-9946973.13731071,5329240.81799881,79,39.77272727,1152,MB,Packers at Aberg,43.11335,-89.35518,0,0,0,0.18181818,0,0,0,0,0,0,0,0,0,0,0,39.59090909,0,0,0,0,0,0,0,0,0,0,0,0,0
-9943783.16595186,5326529.75478276,80,0.18181818,1153,MB,Walter at Dawes,43.095569,-89.326524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18181818,0,0,0,0,0
-9947961.09781321,5328265.37883694,81,13.72727273,1156,MB,N Sherman at Commercial,43.106953,-89.364055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.72727273,0,0,0,0,0,0,0,0,0,0,0
-9948920.56047019,5325976.8440629,82,0.22727273,1157,MB,N Baldwin at Sherman,43.091942,-89.372674,0.22727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9947222.27042052,5326909.35683343,83,8.95454545,1160,MB,E Johnson at N Fourth,43.098059,-89.357418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.95454545,0,0,0,0,0,0,0,0,0,0,0
-9950340.21798732,5323189.61718416,84,0.45454545,1163,MB,W Washington at S Carroll,43.073655,-89.385427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45454545,0,0,0,0,0,0,0,0,0,0
-9948622.11297255,5323831.51851722,85,3.81818182,1167,MB,Jenifer at S Livingston,43.077867,-89.369993,0,0.22727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59090909,0,0,0,0,0,0,0,0,0,0,0,0
-9944149.74110458,5325636.15019692,86,31.04545455,1169,MB,Atwood at Walter,43.089707,-89.329817,0,3.09090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.95454545,0,0,0,0,0,0,0,0,0,0,0,0
-9947913.89830008,5326735.10395183,87,3.86363636,1177,MB,Fordem at Lakewood,43.096916,-89.363631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86363636,0,0,0,0,0,0,0,0,0,0,0
-9947011.31991736,5325953.82588267,88,49.5,1188,MB,Winnebago at Atwood,43.091791,-89.355523,0,6.36363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.13636364,0,0,0,0,0,0,0,0,0,0,0,0
-9948292.05063806,5324192.87423128,89,23.68181818,1190,MB,Jenifer at S Brearly,43.080238,-89.367028,0,6.95454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.72727273,0,0,0,0,0,0,0,0,0,0,0,0
-9948682.5594009,5323813.83974365,90,37.95454545,1194,MB,Jenifer at S Livingston,43.077751,-89.370536,0,11.13636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.81818182,0,0,0,0,0,0,0,0,0,0,0,0
-9951328.06715244,5319489.33365761,91,7.90909091,120,MB,S Park at Wingra,43.049369,-89.394301,0,0,0,0,0,0,0,0.04545455,0,0,0,0,0,0,0,7.86363636,0,0,0,0,0,0,0,0,0,0,0,0,0
-9944109.88871826,5326991.37734538,92,6.09090909,1206,MB,Milwaukee at Leon,43.098597,-89.329459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09090909,0,0,0,0,0,0,0,0,0,0,0
-9947424.09253454,5325278.54932279,93,21.68181818,1208,MB,Williamson at Rogers,43.087361,-89.359231,0,2.86363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.81818182,0,0,0,0,0,0,0,0,0,0,0,0
-9948872.91576719,5325235.71738345,94,16.13636364,1209,MB,E Johnson at N Ingersoll,43.08708,-89.372246,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.13636364,0,0,0,0,0,0,0,0,0,0,0
-9952086.82072796,5317828.59829978,95,21.09090909,121,MB,W Badger at Fiedler,43.038466,-89.401117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.72727273,0,0,0,0,0,1.36363636,0,0,0,0,0,0,0
-9946930.50199885,5329300.90001404,96,0.27272727,1216,MB,Aberg at Packers,43.113744,-89.354797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27272727,0,0,0,0,0
-9945698.30648244,5326257.18268042,97,5.31818182,1219,MB,Atwood at Waubesa,43.093781,-89.343728,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31818182,0,0,0,0,0,0,0,0,0,0,0,0
-9944777.80562631,5327187.28421647,98,4.95454545,1220,MB,Milwaukee at N Bryan,43.099882,-89.335459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95454545,0,0,0,0,0,0,0,0,0,0,0
-9944074.1551835,5325633.40635227,99,0.54545455,1225,MB,Walter at Atwood,43.089689,-89.329138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54545455,0,0,0,0,0
-9950146.1881149,5324011.05164117,100,34.59090909,1227,MB,E Johnson at N Butler,43.079045,-89.383684,2.86363636,0,0,0,0,0,0,0,0,0,0,4.68181818,0,0,0,0,0,27.04545455,0,0,0,0,0,0,0,0,0,0,0
-9949599.49812532,5323318.99971985,101,3.5,1230,MB,E Wilson at S Butler,43.074504,-89.378773,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
-9948579.92288724,5325604.13930479,102,38.04545455,1250,MB,E Gorham at N Baldwin,43.089497,-89.369614,11.86363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.18181818,0,0,0,0,0,0,0,0,0,0,0
-9947950.96773005,5329077.65318769,103,22.59090909,1254,MB,N Sherman at Roth,43.11228,-89.363964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.59090909,0,0,0,0,0,0,0,0,0,0,0
-9948280.13950478,5325811.29727361,104,4.95454545,1267,MB,E Johnson at N Dickinson,43.090856,-89.366921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95454545,0,0,0,0,0,0,0,0,0,0,0
-9943803.42617992,5326877.79896101,105,2,1270,MB,Walter at Milwaukee,43.097852,-89.326706,0,0,0,0,0.27272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72727273,0,0,0,0,0
