X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,sign_type,jurisdiction_id,relative_position,cardinal_direction,primary_street,address_range,cross_location,PK_OP_WE,start_date,end_date
-9948213.16189013,5317054.201553,2191,976,3913,Moorland at Wayland,This stop (#3913) is eastbound on the 1101 block of Moorland before Wayland,43.033371,-89.366314,1,,0,,,1,1,CMAD,3,90,Moorland,1101,Wayland,111,20250817,20250817
-9944099.01089874,5319169.95028794,2192,978,3931,W Broadway at Falcon,This stop (#3931) is eastbound on the 498 block of W Broadway after Falcon,43.047262,-89.329356,1,,0,,,1,1,CMON,1,90,W Broadway,498,Falcon,111,20250817,20250817
-9947271.06486694,5316952.7761794,2193,979,3941,Moorland at Manor,This stop (#3941) is eastbound on the 1501 block of Moorland after Manor,43.032705,-89.357851,1,,0,,,1,1,CMAD,1,90,Moorland,1501,Manor,111,20250817,20250817
-9950257.87780881,5317664.60939808,2194,980,3946,Pheasant Ridge at Quail Run,This stop (#3946) is southbound on the 2598 block of Pheasant Ridge before Quail Run,43.037379,-89.384682,1,,0,,,1,1,CFIT,3,180,Pheasant Ridge,2598,Quail Run,111,20250817,20250817
-9950653.73133043,5317074.45321379,2195,982,3962,Deer Valley at Ski,This stop (#3962) is southbound on the 298 block of Deer Valley before Ski,43.033504,-89.388238,1,,0,,,1,1,CFIT,3,180,Deer Valley,298,Ski,111,20250817,20250817
-9949832.41580862,5317071.40847067,2196,983,3968,Rimrock at Kent,This stop (#3968) is southbound on the 2900 block of Rimrock before Kent,43.033484,-89.38086,1,,0,,,0,1,CFIT,3,180,Rimrock,2900,Kent,100,20250817,20250817
-9953004.23274726,5322310.69699689,2197,984,0398,Regent at N Randall,This stop (#0398) is westbound on the 1400 block of Regent after N Randall,43.067877,-89.409353,1,,0,,,1,1,CMAD,1,270,Regent,1400,N Randall,111,20250817,20250817
-9946925.52704156,5318047.35932988,2198,985,3980,South Towne at Industrial,This stop (#3980) is southbound on the 5600 block of South Towne after Industrial,43.039892,-89.354747,1,,0,,,1,1,CMON,1,180,South Towne,5600,Industrial,111,20250817,20250817
-9952388.08710506,5318345.73013421,2199,986,0405,Fish Hatchery at Catalpa,This stop (#0405) is northbound on the 2199 block of Fish Hatchery after Catalpa,43.041851,-89.403818,1,,0,,,1,1,CMAD,1,0,Fish Hatchery,2199,Catalpa,111,20250817,20250817
-9953552.4813862,5322318.92463409,2200,987,0406,Regent at N Breese,This stop (#0406) is westbound on the 1600 block of Regent after N Breese,43.067931,-89.414278,1,,0,,,1,1,CMAD,1,270,Regent,1600,N Breese,111,20250817,20250817
-9951386.88009784,5317895.50195783,2201,988,4100,W Badger at South Transfer,South Transfer stops are located at 800 West Badger Road - boarding areas are adjacent both sides of the facility drive aisle west of South Park Street,43.038895,-89.394824,1,,0,104000,,1,1,MTSM,2,270,W Badger,800,South Transfer,111,20250817,20250817
-9951025.8802951,5312996.31635497,2202,990,4120,E Cheryl at Lacy,This stop (#4120) is westbound on the 5100 block of E Cheryl after Lacy,43.00672,-89.391581,1,,0,,,0,1,CFIT,1,270,E Cheryl,5100,Lacy,100,20250817,20250817
-9957210.67195041,5318244.73945045,2203,991,4129,Nakoma at Waban,This stop (#4129) is eastbound on the 4199 block of Nakoma after Waban,43.041188,-89.44714,1,,0,,,1,1,CMAD,1,90,Nakoma,4199,Waban,111,20250817,20250817
-9951896.28782411,5312996.61966991,2204,993,4137,E Cheryl at Crinkle Root,This stop (#4137) is eastbound on the 5199 block of E Cheryl after Crinkle Root,43.006722,-89.3994,1,,0,,,0,1,CFIT,1,90,E Cheryl,5199,Crinkle Root,100,20250817,20250817
-9955625.48382532,5317310.96084694,2205,995,4139,Beltline S at Grandview,This stop (#4139) is eastbound on the 3399 block of Beltline S after Grandview,43.035057,-89.4329,1,,0,,,1,1,CMAD,1,90,Beltline S,3399,Grandview,111,20250817,20250817
-9964468.83395184,5311155.60190251,2206,1000,4160,E Verona at Maple Grove,This stop (#4160) is westbound on the 998 block of E Verona after Maple Grove,42.994627,-89.512341,1,,0,,,1,1,CVER,1,270,E Verona,998,Maple Grove,111,20250817,20250817
-9953150.62980664,5316371.64229223,2207,1003,4175,Fish Hatchery at Ochalla,This stop (#4175) is northbound on the 2899 block of Fish Hatchery after Ochalla,43.028889,-89.410668,1,,0,,,1,1,CFIT,1,0,Fish Hatchery,2899,Ochalla,111,20250817,20250817
-9958233.58961784,5317059.51800307,2208,1005,4179,Verona E at Atticus,This stop (#4179) is northbound on the 4651 block of Verona E before Atticus,43.033406,-89.456329,1,,0,,,1,1,CMAD,3,0,Verona E,4651,Atticus,111,20250817,20250817
-9951120.26097398,5322482.1277017,2209,1006,0418,W Washington at N Bedford,This stop (#0418) is westbound on the 598 block of W Washington before N Bedford,43.069002,-89.392429,1,,0,,,1,1,CMAD,3,270,W Washington,598,N Bedford,111,20250817,20250817
-9954083.15569133,5315326.13178036,2210,1007,F482,High Ridge at Cahill,This flag stop (#F482) is westbound on the 2200 block of High Ridge after Cahill,43.022023,-89.419045,1,,0,,,0,0,CFIT,1,270,High Ridge,2200,Cahill,100,20250817,20250817
-9954732.70283857,5316490.2685353,2211,1008,4187,Todd at Pelham,This stop (#4187) is northbound on the 3101 block of Todd before Pelham,43.029668,-89.42488,1,,0,,,1,1,CMAD,3,0,Todd,3101,Pelham,111,20250817,20250817
-9953665.70686003,5315619.09464247,2212,1009,4188,Fish Hatchery at Traceway,This stop (#4188) is southbound on the 3100 block of Fish Hatchery after Traceway,43.023947,-89.415295,1,,0,,,1,1,CFIT,1,180,Fish Hatchery,3100,Traceway,111,20250817,20250817
-9952566.75652218,5317575.35687879,2213,1011,4192,Fish Hatchery at Emil,This stop (#4192) is southbound on the 2598 block of Fish Hatchery before Emil,43.036793,-89.405423,1,,0,,,1,1,CMAD,3,180,Fish Hatchery,2598,Emil,111,20250817,20250817
-9952353.47732499,5312999.35924531,2214,1012,4193,E Cheryl at Big Bluestem,This stop (#4193) is eastbound on the 5251 block of E Cheryl before Big Bluestem,43.00674,-89.403507,1,,0,,,0,1,CFIT,3,90,E Cheryl,5251,Big Bluestem,100,20250817,20250817
-9954193.14467051,5312736.61694458,2215,1013,4194,E Cheryl at Woods Hollow,This stop (#4194) is westbound on the 5460 block of E Cheryl before Woods Hollow,43.005014,-89.420033,1,,0,,,1,1,CFIT,3,270,E Cheryl,5460,Woods Hollow,100,20250817,20250817
-9960960.70248284,5314026.63263494,2216,1015,4200,Fitchrona at Target,This stop (#4200) is southbound on the 2901 block of Fitchrona adjacent Target,43.013488,-89.480827,1,,0,,,1,1,CFIT,2,180,Fitchrona,2901,Target,111,20250817,20250817
-9960927.75181645,5314081.13618536,2217,1016,4201,Fitchrona at Hy-Vee,This stop (#4201) is northbound on the 2900 block of Fitchrona adjacent Hy-Vee,43.013846,-89.480531,1,,0,,,1,1,CFIT,2,0,Fitchrona,2900,Hy-Vee,111,20250817,20250817
-9954628.3973135,5316028.09860344,2218,1018,4210,Post at Leopold,This stop (#4210) is westbound on the 2600 block of Post after Leopold,43.026633,-89.423943,1,,0,,,1,1,CMAD,1,270,Post,2600,Leopold,111,20250817,20250817
-9954885.21143924,5316080.02463232,2219,1019,4216,Todd at Post,This stop (#4216) is southbound on the 3298 block of Todd before Post,43.026974,-89.42625,1,,0,,,1,1,CMAD,3,180,Todd,3298,Post,111,20250817,20250817
-9954502.0473059,5317173.28684833,2220,1020,4219,Todd at Beltline S,This stop (#4219) is northbound on the 2801 block of Todd before Beltline S,43.034153,-89.422808,1,,0,,,1,1,CMAD,3,0,Todd,2801,Beltline S,111,20250817,20250817
-9953573.64346054,5316697.53072414,2221,1021,4224,Greenway at Coho,This stop (#4224) is westbound on the 1998 block of Greenway before Coho,43.031029,-89.414468,1,,0,,,0,1,CFIT,3,270,Greenway,1998,Coho,111,20250817,20250817
-9959501.30255298,5314350.46245853,2222,1023,4240,McKee at Commerce Park,This stop (#4240) is westbound on the 6100 block of McKee after Commerce Park,43.015615,-89.467717,1,,0,,,1,1,CFIT,1,270,McKee,6100,Commerce Park,100,20250817,20250817
-9954260.38176912,5312705.25900631,2223,1025,4245,E Cheryl at Woods Hollow,This stop (#4245) is eastbound on the 5465 block of E Cheryl before Woods Hollow,43.004808,-89.420637,1,,0,,,1,1,CFIT,3,90,E Cheryl,5465,Woods Hollow,100,20250817,20250817
-9950931.1474236,5313008.64676109,2224,1026,4253,Lacy at E Cheryl,This stop (#4253) is eastbound on the 5099 block of Lacy after E Cheryl,43.006801,-89.39073,1,,0,,,1,1,CFIT,1,90,Lacy,5099,E Cheryl,100,20250817,20250817
-9966778.27211818,5310527.80963252,2225,1030,4261,E Verona at S Main,This stop (#4261) is eastbound on the 101 block of E Verona after S Main,42.990502,-89.533087,1,,0,,,1,1,CVER,1,90,E Verona,101,S Main,111,20250817,20250817
-9957963.08265063,5317349.94591246,2226,1031,4263,Verona E at Britta,This stop (#4263) is northbound on the 4599 block of Verona E after Britta,43.035313,-89.453899,1,,0,,,1,1,CMAD,1,0,Verona E,4599,Britta,111,20250817,20250817
-9953609.37822847,5316109.87264743,2227,1039,4325,Coho at Post,This stop (#4325) is northbound on the 2999 block of Coho after Post,43.02717,-89.414789,1,,0,,,1,1,CMAD,1,0,Coho,2999,Post,111,20250817,20250817
-9958372.40456603,5317304.86515106,2228,1040,4326,Verona W at Summit,This stop (#4326) is southbound on the 4700 block of Verona W after Summit,43.035017,-89.457576,1,,0,,,1,1,CMAD,1,180,Verona W,4700,Summit,111,20250817,20250817
-9957683.22300186,5318398.57566141,2229,1045,F442,S Midvale at Cherokee,This flag stop (#F442) is southbound on the 1000 block of S Midvale after Cherokee,43.042198,-89.451385,1,,0,,,1,0,CMAD,1,180,S Midvale,1000,Cherokee,100,20250817,20250817
-9951414.3854783,5313045.48519372,2230,1046,4343,E Cheryl at No Oaks,This stop (#4343) is eastbound on the 5151 block of E Cheryl before No Oaks,43.007043,-89.395071,1,,0,,,0,1,CFIT,3,90,E Cheryl,5151,No Oaks,100,20250817,20250817
-9957249.18846127,5318251.44119566,2231,1047,4346,Nakoma at Waban,This stop (#4346) is westbound on the 4198 block of Nakoma before Waban,43.041232,-89.447486,1,,0,,,1,1,CMAD,3,270,Nakoma,4198,Waban,111,20250817,20250817
-9956802.79631217,5318679.7544723,2232,1048,4347,Nakoma at Seminole,This stop (#4347) is eastbound on the 4099 block of Nakoma after Seminole,43.044044,-89.443476,1,,0,,,1,1,CMAD,1,90,Nakoma,4099,Seminole,111,20250817,20250817
-9957685.7845971,5317845.07958776,2233,1051,4354,S Midvale at Nakoma,This stop (#4354) is southbound on the 1300 block of S Midvale after Nakoma,43.038564,-89.451408,1,,0,,,1,1,CMAD,1,180,S Midvale,1300,Nakoma,111,20250817,20250817
-9957624.0020118,5317958.24369224,2234,1052,F455,S Midvale at Nakoma,This flag stop (#F455) is northbound on the 1299 block of S Midvale after Nakoma,43.039307,-89.450853,1,,0,,,1,0,CMAD,1,0,S Midvale,1299,Nakoma,100,20250817,20250817
-9955713.42623035,5317280.95829797,2235,1053,F460,Grandview at Beltline S,This flag stop (#F460) is southbound on the 2800 block of Grandview after Beltline S,43.03486,-89.43369,1,,0,,,0,0,CMAD,1,180,Grandview,2800,Beltline S,100,20250817,20250817
-9958015.29129931,5317441.3249151,2236,1054,4368,Verona at Highway Ramp,This stop (#4368) is southbound on the 4500 block of Verona after Highway Ramp,43.035913,-89.454368,1,,0,,,1,1,CMAD,1,180,Verona,4500,Highway Ramp,111,20250817,20250817
-9953169.88745705,5316713.82598203,2237,1055,4373,Greenway at Bryant,This stop (#4373) is eastbound on the 1801 block of Greenway before Bryant,43.031136,-89.410841,1,,0,,,1,1,CFIT,3,90,Greenway,1801,Bryant,111,20250817,20250817
-9955117.31020614,5317255.06865024,2238,1056,4377,Beltline S at Landmark,This stop (#4377) is eastbound on the 3099 block of Beltline S after Landmark,43.03469,-89.428335,1,,0,,,1,1,CMAD,1,90,Beltline S,3099,Landmark,111,20250817,20250817
-9952675.61542409,5323393.86856172,2239,1058,0438,Linden at N Charter,This stop (#0438) is eastbound on the 498 block of Linden before N Charter,43.074985,-89.406401,1,,0,,,1,1,UWIS,3,90,Linden,498,N Charter,111,20250817,20250817
-9956308.42488994,5319319.36681347,2240,1059,4382,Nakoma at Huron,This stop (#4382) is westbound on the 3798 block of Nakoma after Huron,43.048243,-89.439035,1,,0,,,1,1,CMAD,1,270,Nakoma,3798,Huron,111,20250817,20250817
